date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:12:27	77160/77160	---M--	200	added ('OK')	font/woff2	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/fonts/fontawesome-webfont.woff2	C:/My%20Web%20Sites/osircourier/osircourier.com/app/fonts/fontawesome-webfont.woff2	(from https://osircourier.com/app/css/font-awesome.css)
10:12:28	98024/98024	---M--	200	added ('OK')	font/woff	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/fonts/fontawesome-webfont.woff	C:/My%20Web%20Sites/osircourier/osircourier.com/app/fonts/fontawesome-webfont.woff	(from https://osircourier.com/app/css/font-awesome.css)
10:12:31	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/fonts/fontawesome-webfont.svg	C:/My%20Web%20Sites/osircourier/osircourier.com/app/fonts/fontawesome-webfont.svg	(from https://osircourier.com/app/css/font-awesome.css)
10:12:31	165548/165548	---M--	200	added ('OK')	font/ttf	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/fonts/fontawesome-webfont.ttf	C:/My%20Web%20Sites/osircourier/osircourier.com/app/fonts/fontawesome-webfont.ttf	(from https://osircourier.com/app/css/font-awesome.css)
10:12:31	154122/154122	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Oct%202020%2005:42:32%20GMT	https://osircourier.com/app/img/bg-img/bg-1.jpg	C:/My%20Web%20Sites/osircourier/osircourier.com/app/img/bg-img/bg-1.jpg	(from https://osircourier.com/app/services.php)
10:12:31	99012/99012	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Oct%202020%2011:43:12%20GMT	https://osircourier.com/app/img/Services/bg-ser-4.jpg	C:/My%20Web%20Sites/osircourier/osircourier.com/app/img/Services/bg-ser-4.jpg	(from https://osircourier.com/app/about.php)
10:12:33	165185/165185	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Oct%202020%2011:44:38%20GMT	https://osircourier.com/app/img/Services/bg-ser-5.jpg	C:/My%20Web%20Sites/osircourier/osircourier.com/app/img/Services/bg-ser-5.jpg	(from https://osircourier.com/app/about.php)
10:12:33	88017/88017	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Oct%202020%2011:50:02%20GMT	https://osircourier.com/app/img/Services/bg-ser-6.jpg	C:/My%20Web%20Sites/osircourier/osircourier.com/app/img/Services/bg-ser-6.jpg	(from https://osircourier.com/app/contact.php)
10:12:33	132070/132070	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Oct%202020%2012:05:18%20GMT	https://osircourier.com/app/img/Services/bg-ser-7.jpg	C:/My%20Web%20Sites/osircourier/osircourier.com/app/img/Services/bg-ser-7.jpg	(from https://osircourier.com/app/contact.php)
10:12:34	10373/10373	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jun%202022%2008:12:33%20GMT	https://osircourier.com/app/css/owl.video.play.png	C:/My%20Web%20Sites/osircourier/osircourier.com/app/css/owl.video.play.png	(from https://osircourier.com/app/css/owl.carousel.min.css)
